time,atm_temperature,atm_humidity,atm_air_pressure,atm_air_particle,atm_air_smoke,atm_CO2_ammount,atm_sound_pressure,light_intensity,UV_intensity,quality_rating,user_likes
3365322,23.00,42.30,99.75,0.00,0.00,0.00,14.43,0.00,0.00,200.00,2
3400371,23.00,42.10,99.77,0.00,0.00,0.00,14.98,0.00,0.00,200.00,2
3435420,23.00,42.00,99.77,16174.47,0.00,0.00,21.62,0.00,0.00,200.00,2
3470705,23.00,41.90,99.76,7080.87,0.00,0.00,16.52,0.00,0.00,200.00,2
3505730,23.00,43.90,99.75,26860.32,0.00,0.00,14.98,0.00,0.00,200.00,2
3540772,23.00,49.30,99.76,24471.82,0.00,0.00,14.83,0.00,0.00,200.00,2
3575813,23.20,49.80,99.76,12384.71,0.00,0.00,21.75,0.00,0.00,200.00,2
3610737,23.30,48.70,99.76,7664.75,0.00,0.00,15.98,0.00,0.00,200.00,2
3645643,23.40,46.50,99.76,0.00,0.00,0.00,16.92,0.00,0.00,200.00,2
3680694,23.40,43.00,99.75,1923.68,0.00,0.00,15.37,0.00,0.00,200.00,2
3715459,23.50,41.80,99.75,1164.21,0.00,0.00,15.60,0.00,0.00,200.00,2
3750436,23.50,41.20,99.75,1180.28,0.00,0.00,15.87,0.00,0.00,200.00,2
3785775,23.50,40.80,99.75,0.00,0.00,0.00,15.38,0.00,0.00,200.00,2
3820827,23.50,40.60,99.74,0.00,0.00,0.00,15.35,0.00,0.00,200.00,2
3855879,23.50,40.50,99.74,0.00,0.00,0.00,15.47,0.00,0.00,200.00,2
3890930,23.50,40.30,99.75,1362.49,0.00,0.00,15.93,0.00,0.00,200.00,2
3925889,23.50,40.30,99.74,0.00,0.00,0.00,15.22,0.00,0.00,200.00,2
3960942,23.50,40.20,99.74,0.00,0.00,0.00,14.83,0.00,0.00,200.00,2
3995995,23.50,40.20,99.75,0.00,0.00,0.00,14.92,0.00,0.00,200.00,2
4031047,23.50,40.20,99.74,2235.82,0.00,0.00,15.73,0.00,0.00,200.00,2
4065821,23.40,40.20,99.74,0.00,0.00,0.00,15.68,0.00,0.00,200.00,2
4100873,23.40,40.20,99.74,0.00,0.00,0.00,16.78,0.00,0.00,200.00,2
4135925,23.40,40.10,99.75,0.00,0.00,0.00,15.20,0.00,0.00,200.00,2
4170978,23.40,39.90,99.74,0.00,0.00,0.00,15.35,0.00,0.00,200.00,2
4206031,23.40,39.80,99.74,132.93,0.00,0.00,15.62,0.00,0.00,200.00,2
4241246,23.40,39.70,99.74,1320.67,0.00,0.00,16.48,0.00,0.00,200.00,2
4276435,23.40,39.70,99.74,0.00,0.00,0.00,17.33,0.00,0.00,200.00,2
4311487,23.40,39.80,99.74,0.00,0.00,0.00,14.90,0.00,0.00,200.00,2
4346539,23.30,39.60,99.75,0.00,0.00,0.00,15.03,0.00,0.00,200.00,2
4381591,23.30,39.70,99.75,0.00,0.00,0.00,16.43,0.00,0.00,200.00,2
4416643,23.30,39.90,99.75,0.00,0.00,0.00,15.52,0.00,0.00,200.00,2
4451695,23.30,40.30,99.75,1444.71,0.00,0.00,15.45,0.00,0.00,200.00,2
4486572,23.30,40.60,99.75,0.00,0.00,0.00,15.13,0.00,0.00,200.00,2
4521625,23.30,40.90,99.76,1448.68,0.00,0.00,14.67,0.00,0.00,200.00,2
4556923,23.40,40.90,99.77,0.00,0.00,0.00,15.25,0.00,0.00,200.00,2
4591975,23.30,41.00,99.76,0.00,0.00,0.00,16.62,0.00,0.00,200.00,2
4627027,23.40,41.00,99.76,0.00,0.00,0.00,15.03,0.00,0.00,200.00,2
4662079,23.40,41.10,99.77,0.00,0.00,0.00,15.13,0.00,0.00,200.00,2
4697131,23.40,41.20,99.76,0.00,0.00,0.00,15.57,0.00,0.00,200.00,2
4732182,23.40,41.30,99.77,43.57,0.00,0.00,14.47,0.00,0.00,200.00,2
4767191,23.50,41.50,99.77,0.00,0.00,0.00,15.47,0.00,0.00,200.00,2
4802243,23.50,41.60,99.77,703.38,0.00,0.00,15.10,0.00,0.00,200.00,2
4837053,23.50,41.70,99.77,0.00,0.00,0.00,16.00,0.00,0.00,200.00,2
4872105,23.50,41.80,99.77,0.00,0.00,0.00,15.28,0.00,0.00,200.00,2
4907194,23.60,42.00,99.77,552.62,0.00,0.00,17.22,0.00,0.00,200.00,2
4942505,23.60,42.20,99.77,0.00,0.00,0.00,15.45,0.00,0.00,200.00,2
4977556,23.60,42.30,99.77,1835.25,0.00,0.00,15.30,0.00,0.00,200.00,2
5012483,23.60,42.50,99.77,0.00,0.00,0.00,15.25,0.00,0.00,200.00,2
5047536,23.60,42.50,99.76,0.00,0.00,0.00,15.73,0.00,0.00,200.00,2
5082589,23.60,42.70,99.76,4645.66,0.00,0.00,20.03,0.00,0.00,200.00,2
5117889,23.60,42.70,99.76,1793.94,0.00,0.00,18.78,0.00,0.00,200.00,2
5153233,23.70,42.80,99.76,0.00,0.00,0.00,15.35,0.00,0.00,200.00,2
5188286,23.70,43.10,99.76,0.00,0.00,0.00,15.25,0.00,0.00,200.00,2
5223337,23.70,43.20,99.76,0.00,0.00,0.00,16.43,0.00,0.00,200.00,2
5258389,23.80,43.30,99.75,0.00,0.00,0.00,14.77,0.00,0.00,200.00,2
5293442,23.80,43.40,99.76,0.00,0.00,0.00,15.50,0.00,0.00,200.00,2
5328495,23.80,43.50,99.75,0.00,0.00,0.00,15.35,0.00,0.00,200.00,2
5363546,23.80,43.60,99.75,0.00,0.00,0.00,15.55,0.00,0.00,200.00,2
5398598,23.80,41.50,99.76,0.00,0.00,0.00,15.87,0.00,0.00,200.00,2
5433650,23.80,41.30,99.76,0.00,0.00,0.00,15.77,0.00,0.00,200.00,2
5468703,23.70,41.30,99.76,0.00,0.00,0.00,16.15,0.00,0.00,200.00,2
5503756,23.70,41.70,99.77,0.00,0.00,0.00,15.22,0.00,0.00,200.00,2
5538808,23.70,41.90,99.76,0.00,0.00,0.00,15.32,0.00,0.00,200.00,2
5573859,23.70,42.10,99.77,0.00,0.00,0.00,15.72,0.00,0.00,200.00,2
5608910,23.70,42.30,99.77,0.00,0.00,0.00,17.67,0.00,0.00,200.00,2
5643963,23.70,42.30,99.77,0.00,0.00,0.00,15.10,0.00,0.00,200.00,2
5679015,23.70,42.30,99.76,0.00,0.00,0.00,14.30,0.00,0.00,200.00,2
5714067,23.70,42.40,99.77,3025.18,0.00,0.00,15.35,0.00,0.00,200.00,2
5749348,23.70,42.50,99.77,643.29,0.00,0.00,15.30,0.00,0.00,200.00,2
5784135,23.70,42.60,99.77,0.00,0.00,0.00,16.17,0.00,0.00,200.00,2
5819188,23.80,42.80,99.77,0.00,0.00,0.00,15.00,0.00,0.00,200.00,2
5854241,23.80,42.80,99.77,0.00,0.00,0.00,15.40,0.00,0.00,200.00,2
5889294,23.80,42.90,99.77,0.00,0.00,0.00,15.32,0.00,0.00,200.00,2
5924345,23.80,43.00,99.77,0.00,0.00,0.00,15.38,0.00,0.00,200.00,2
5959397,23.80,43.00,99.78,3380.23,0.00,0.00,15.27,0.00,0.00,200.00,2
5994458,23.80,43.20,99.77,0.00,0.00,0.00,15.28,0.00,0.00,200.00,2
6029511,23.90,43.20,99.77,0.00,0.00,0.00,15.37,0.00,0.00,200.00,2
6064564,23.80,43.40,99.78,0.00,0.00,0.00,15.38,0.00,0.00,200.00,2
6099616,23.90,43.40,99.78,606.01,0.00,0.00,15.28,0.00,0.00,200.00,2
6134725,23.90,43.60,99.78,0.00,0.00,0.00,15.33,0.00,0.00,200.00,2
6169777,23.90,43.50,99.79,0.00,0.00,0.00,15.45,0.00,0.00,200.00,2
6204828,23.90,43.60,99.79,1418.01,0.00,0.00,15.28,0.00,0.00,200.00,2
6239743,23.90,43.60,99.79,0.00,0.00,0.00,15.25,0.00,0.00,200.00,2
6274795,23.90,43.70,99.80,743.92,0.00,0.00,15.08,0.00,0.00,200.00,2
6309630,23.90,43.80,99.79,1185.44,0.00,0.00,15.43,0.00,0.00,200.00,2
6344915,23.90,43.80,99.80,0.00,0.00,0.00,15.38,0.00,0.00,200.00,2
6379967,24.00,43.90,99.80,0.00,0.00,0.00,15.25,0.00,0.00,200.00,2
6415020,24.00,44.00,99.80,0.00,0.00,0.00,15.32,0.00,0.00,200.00,2
6450073,24.00,44.20,99.80,5232.70,0.00,0.00,15.35,0.00,0.00,200.00,2
6484921,24.00,44.40,99.80,0.00,0.00,0.00,15.45,0.00,0.00,200.00,2
6519974,24.00,44.50,99.79,0.00,0.00,0.00,15.17,0.00,0.00,200.00,2
6555026,24.00,44.60,99.79,0.00,0.00,0.00,14.87,0.00,0.00,200.00,2
6590077,24.00,44.70,99.79,0.00,0.00,0.00,15.28,0.00,0.00,200.00,2
6625129,24.00,44.80,99.78,0.00,0.00,0.00,15.10,0.00,0.00,200.00,2
6660181,24.00,45.00,99.78,0.00,0.00,0.00,14.72,0.00,0.00,200.00,2
6695233,24.00,45.00,99.77,0.00,0.00,0.00,16.58,0.00,0.00,200.00,2
6730284,24.00,45.10,99.78,0.00,0.00,0.00,15.48,0.00,0.00,200.00,2
6765335,24.00,45.10,99.77,0.00,0.00,0.00,15.13,0.00,0.00,200.00,2
6800387,24.00,45.20,99.77,0.00,0.00,0.00,15.55,0.00,0.00,200.00,2
6835439,24.00,45.30,99.78,0.00,0.00,0.00,14.95,0.00,0.00,200.00,2
6870492,24.00,45.30,99.77,0.00,0.00,0.00,15.33,0.00,0.00,200.00,2
6905543,24.00,45.20,99.78,0.00,0.00,0.00,15.27,0.00,0.00,200.00,2
6940594,24.00,45.30,99.77,130.93,0.00,0.00,15.73,0.00,0.00,200.00,2
6975428,24.00,45.20,99.78,0.00,0.00,0.00,15.12,0.00,0.00,200.00,2
7010481,24.00,45.40,99.78,0.00,0.00,0.00,15.47,0.00,0.00,200.00,2
7045533,24.00,45.50,99.77,2701.97,0.00,0.00,15.23,0.00,0.00,200.00,2
7080471,24.00,45.40,99.78,0.00,0.00,0.00,15.47,0.00,0.00,200.00,2
7115523,24.00,45.60,99.78,1595.27,0.00,0.00,15.45,0.00,0.00,200.00,2
7150254,24.00,45.70,99.78,0.00,0.00,0.00,15.35,0.00,0.00,200.00,2
